Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
35	Round_4_Replicate_1	-1147.66	1495.67	23471.65	1296.65	1.1413,1.4311,0.2662,10.1853,9.9563,0.0703,7.3417,0.6928
36	Round_1_Replicate_9	-2412.62	4153.64	23442.1	13968.02	2.5493,0.3985,0.5195,2.8744,0.3126,5.7716,0.1341,2.5961
37	Round_4_Replicate_3	-1532.31	1318.2	23434.87	2163.75	9.0962,0.0388,1.4926,6.5675,0.9424,0.5606,0.6952,1.7099
38	Round_4_Replicate_4	-1962.21	1234.16	23559.0	11618.58	0.4345,3.2879,2.2947,7.765,0.3855,1.3082,1.9386,1.1109
39	Round_4_Replicate_1	-1519.61	2292.12	23342.64	2235.71	1.5473,2.7559,0.2153,4.9654,10.7717,0.5808,0.035,0.6165
40	Round_4_Replicate_4	-720.71	2150.67	23381.67	289.53	6.4533,1.7384,0.7066,6.4672,2.9646,0.0881,0.1628,0.4455
41	Round_4_Replicate_2	-1166.68	2178.55	23415.15	1467.81	3.0715,6.505,1.7536,4.2798,1.2765,0.2094,0.1891,0.369
42	Round_4_Replicate_3	-796.97	1793.86	23299.18	433.86	1.1012,7.1088,1.1461,6.5531,2.0385,0.2371,0.5245,0.2254
43	Round_4_Replicate_1	-1682.47	2571.32	23508.01	5238.61	1.0947,0.8851,0.698,5.4237,3.4594,1.9733,0.0746,0.3764
44	Round_4_Replicate_3	-1960.0	255.38	23431.69	3378.8	0.0533,1.0856,8.3697,28.7706,0.4956,0.0144,3.7978,15.3367
45	Round_4_Replicate_2	-1419.15	1614.29	23261.43	2535.12	0.3977,0.0558,1.3974,6.2505,0.7588,0.8582,0.1828,1.2924
